Student ID,Quiz ID,Question ID,Date,Subject,Section of said Subject,Major,Grade of Student,University,Correct
10097,1,1-1,2024-01-01,English,English Section 4,English,4,University A,True
10097,1,1-2,2024-01-01,English,English Section 6,English,4,University A,False
10097,1,1-3,2024-01-01,Biology,Biology Section 5,English,4,University A,True
10097,1,1-4,2024-01-01,Science,Science Section 6,English,4,University A,True
10097,1,1-5,2024-01-01,History,History Section 4,English,4,University A,True
10097,1,1-6,2024-01-01,Physics,Physics Section 8,English,4,University A,False
10097,1,1-7,2024-01-01,History,History Section 3,English,4,University A,False
10097,1,1-8,2024-01-01,Science,Science Section 6,English,4,University A,True
10097,1,1-9,2024-01-01,Science,Science Section 8,English,4,University A,False
10097,1,1-10,2024-01-01,Science,Science Section 1,English,4,University A,True
10097,1,1-11,2024-01-01,Math,Math Section 6,English,4,University A,False
10097,1,1-12,2024-01-01,Science,Science Section 10,English,4,University A,True
10097,1,1-13,2024-01-01,Physics,Physics Section 8,English,4,University A,True
10097,1,1-14,2024-01-01,Math,Math Section 2,English,4,University A,False
10097,1,1-15,2024-01-01,English,English Section 1,English,4,University A,True
10097,1,1-16,2024-01-01,History,History Section 10,English,4,University A,True
10097,1,1-17,2024-01-01,History,History Section 10,English,4,University A,True
10097,1,1-18,2024-01-01,Economics,Economics Section 6,English,4,University A,True
10097,1,1-19,2024-01-01,Biology,Biology Section 2,English,4,University A,False
10097,1,1-20,2024-01-01,Economics,Economics Section 8,English,4,University A,False
10097,1,1-21,2024-01-01,Science,Science Section 10,English,4,University A,True
10097,1,1-22,2024-01-01,Math,Math Section 3,English,4,University A,False
10097,1,1-23,2024-01-01,History,History Section 3,English,4,University A,True
10097,1,1-24,2024-01-01,Biology,Biology Section 4,English,4,University A,False
10097,1,1-25,2024-01-01,English,English Section 2,English,4,University A,True
10105,1,1-1,2024-01-01,Physics,Physics Section 6,Math,2,University B,False
10105,1,1-2,2024-01-01,Physics,Physics Section 1,Math,2,University B,False
10105,1,1-3,2024-01-01,Biology,Biology Section 9,Math,2,University B,False
10105,1,1-4,2024-01-01,Economics,Economics Section 6,Math,2,University B,True
10105,1,1-5,2024-01-01,Math,Math Section 3,Math,2,University B,True
10105,1,1-6,2024-01-01,English,English Section 2,Math,2,University B,True
10105,1,1-7,2024-01-01,Science,Science Section 6,Math,2,University B,True
10105,1,1-8,2024-01-01,Economics,Economics Section 7,Math,2,University B,True
10105,1,1-9,2024-01-01,Physics,Physics Section 3,Math,2,University B,False
10105,1,1-10,2024-01-01,Physics,Physics Section 9,Math,2,University B,True
10105,1,1-11,2024-01-01,Physics,Physics Section 4,Math,2,University B,True
10105,1,1-12,2024-01-01,Biology,Biology Section 7,Math,2,University B,True
10105,1,1-13,2024-01-01,Math,Math Section 4,Math,2,University B,True
10105,1,1-14,2024-01-01,History,History Section 4,Math,2,University B,True
10105,1,1-15,2024-01-01,Math,Math Section 5,Math,2,University B,False
10105,1,1-16,2024-01-01,Science,Science Section 4,Math,2,University B,True
10105,1,1-17,2024-01-01,Economics,Economics Section 5,Math,2,University B,True
10105,1,1-18,2024-01-01,Physics,Physics Section 8,Math,2,University B,True
10105,1,1-19,2024-01-01,Economics,Economics Section 6,Math,2,University B,True
10105,1,1-20,2024-01-01,Math,Math Section 5,Math,2,University B,False
10105,1,1-21,2024-01-01,Science,Science Section 6,Math,2,University B,False
10105,1,1-22,2024-01-01,English,English Section 2,Math,2,University B,False
10105,1,1-23,2024-01-01,Economics,Economics Section 8,Math,2,University B,True
10105,1,1-24,2024-01-01,Biology,Biology Section 6,Math,2,University B,True
10105,1,1-25,2024-01-01,Science,Science Section 1,Math,2,University B,False
10100,1,1-1,2024-01-01,Economics,Economics Section 5,History,3,University C,False
10100,1,1-2,2024-01-01,Science,Science Section 3,History,3,University C,False
10100,1,1-3,2024-01-01,Economics,Economics Section 1,History,3,University C,False
10100,1,1-4,2024-01-01,English,English Section 8,History,3,University C,False
10100,1,1-5,2024-01-01,Biology,Biology Section 3,History,3,University C,False
10100,1,1-6,2024-01-01,Math,Math Section 1,History,3,University C,False
10100,1,1-7,2024-01-01,Math,Math Section 2,History,3,University C,False
10100,1,1-8,2024-01-01,Physics,Physics Section 2,History,3,University C,True
10100,1,1-9,2024-01-01,Physics,Physics Section 3,History,3,University C,True
10100,1,1-10,2024-01-01,Science,Science Section 4,History,3,University C,True
10100,1,1-11,2024-01-01,Biology,Biology Section 3,History,3,University C,True
10100,1,1-12,2024-01-01,History,History Section 9,History,3,University C,True
10100,1,1-13,2024-01-01,English,English Section 10,History,3,University C,True
10100,1,1-14,2024-01-01,Science,Science Section 6,History,3,University C,False
10100,1,1-15,2024-01-01,Biology,Biology Section 1,History,3,University C,True
10100,1,1-16,2024-01-01,English,English Section 1,History,3,University C,False
10100,1,1-17,2024-01-01,English,English Section 3,History,3,University C,True
10100,1,1-18,2024-01-01,Physics,Physics Section 3,History,3,University C,False
10100,1,1-19,2024-01-01,History,History Section 6,History,3,University C,False
10100,1,1-20,2024-01-01,Biology,Biology Section 7,History,3,University C,True
10100,1,1-21,2024-01-01,Physics,Physics Section 3,History,3,University C,True
10100,1,1-22,2024-01-01,Math,Math Section 4,History,3,University C,False
10100,1,1-23,2024-01-01,Economics,Economics Section 2,History,3,University C,True
10100,1,1-24,2024-01-01,Science,Science Section 10,History,3,University C,False
10100,1,1-25,2024-01-01,Math,Math Section 2,History,3,University C,True
10177,1,1-1,2024-01-01,English,English Section 6,History,3,University D,False
10177,1,1-2,2024-01-01,Math,Math Section 9,History,3,University D,False
10177,1,1-3,2024-01-01,Science,Science Section 5,History,3,University D,False
10177,1,1-4,2024-01-01,Math,Math Section 9,History,3,University D,False
10177,1,1-5,2024-01-01,Biology,Biology Section 3,History,3,University D,False
10177,1,1-6,2024-01-01,Math,Math Section 3,History,3,University D,False
10177,1,1-7,2024-01-01,Physics,Physics Section 9,History,3,University D,True
10177,1,1-8,2024-01-01,English,English Section 3,History,3,University D,True
10177,1,1-9,2024-01-01,English,English Section 2,History,3,University D,True
